,0
0,Arkansas
1,California
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Hawaii
8,Illinois
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Minnesota
14,Mississippi
15,Nebraska
16,Nevada
17,New Jersey
18,New York
19,North Carolina
20,North Dakota
21,Ohio
22,Pennsylvania
23,Rhode Island
24,South Carolina
25,Tennessee
26,Texas
27,Utah
28,Vermont
29,West Virginia
30,Wisconsin
31,Wyoming
